AbTesting,Beaker24Regular
BankTransferOut,ArrowExport24Regular
BarcodeScan,BarcodeScanner24Regular
BarcodeOff,null
BankOutline,BuildingBank24Regular
BankRemove,null
BankPlus,BuildingBank24Regular
Barcode,BarcodeScanner24Regular
BankTransfer,ArrowTurnRight24Regular
Barley,null
BaseballDiamondOutline,SportBaseball24Regular
BaseballDiamond,Diamond24Regular
BarleyOff,null
Barn,null
BaseballOutline,Sport24Regular
BaseballBat,null
Barrel,null
BarrelOutline,null
Baseball,Sport24Regular
BasketFill,ShoppingBag24Regular
BasketMinus,ShoppingBagDismiss24Regular
BasketOff,ShoppingBagDismiss24Regular
BasketOffOutline,null
BasketMinusOutline,null
Basket,ShoppingBag24Regular
BasketOutline,ShoppingBag24Regular
Bash,null
BasketCheck,CheckmarkCircle24Regular
BasketCheckOutline,ShoppingBagCheckmark24Regular
Basketball,SportBasketball24Regular
BasketballHoopOutline,SportBasketball24Regular
BasketRemoveOutline,null
BasketPlus,ShoppingBagAdd24Regular
BasketballHoop,SportBasketball24Regular
BasketUnfill,ShoppingBagRegular
BasketPlusOutline,null
Bat,null
Bathtub,null
BasketRemove,null
Battery20,Battery624Regular
Battery10,Battery1024Regular
Battery30Bluetooth,BatteryWarning24Regular
Battery10Bluetooth,BatterySaverRegular
Battery40,Battery724Regular
Battery30,BatteryWarning24Regular
Battery40Bluetooth,BatteryWarning24Regular
Battery20Bluetooth,Battery024Regular
Battery,Battery024Regular
BathtubOutline,null
Battery60Bluetooth,Battery624Regular
Battery50,Battery624Regular
Battery60,Battery624Regular
Battery70,Battery724Regular
Battery90,Battery1024Regular
Battery90Bluetooth,Battery1024Regular
Battery80,Battery824Regular
Battery50Bluetooth,null
Battery70Bluetooth,Battery724Regular
Battery80Bluetooth,null
BatteryAlertVariantOutline,BatteryWarning24Regular
BatteryAlertVariant,BatteryWarning24Regular
BatteryArrowUp,BatteryCharge24Regular
BatteryArrowDownOutline,BatteryCharge24Regular
BatteryAlertBluetooth,null
BatteryArrowUpOutline,BatteryCharge24Regular
BatteryArrowDown,BatterySaver24Regular
BatteryAlert,BatteryWarning24Regular
BatteryBluetooth,BatteryWarning24Regular
BatteryBluetoothVariant,BatteryWarning24Regular
BatteryCharging60,BatteryCharge20Regular
BatteryCharging10,BatteryCharge120Regular
BatteryCharging80,BatteryCharge20Regular
BatteryCharging50,BatteryCharge20Regular
BatteryCharging20,BatteryCharge20Regular
BatteryCharging30,BatteryCharge20Regular
BatteryCharging40,BatteryCharge24Regular
BatteryCharging,BatteryCharge24Regular
BatteryCharging70,BatteryCharge20Regular
BatteryCharging100,null
BatteryChargingMedium,BatteryCharge24Regular
BatteryChargingLow,BatteryCharge20Regular
BatteryChargingHigh,BatteryCharge24Regular
BatteryChargingWireless20,BatteryCharge20Regular
BatteryChargingWireless30,null
BatteryChargingWireless10,Battery024Regular
BatteryChargingWireless40,BatteryCharge24Regular
BatteryCharging90,BatteryCharge24Regular
BatteryChargingWireless,BatteryCharge24Regular
BatteryChargingOutline,BatteryCharge24Regular
BatteryChargingWireless80,BatteryCharge24Regular
BatteryClock,BatteryCharge24Regular
BatteryChargingWireless90,BatteryWarning24Regular
BatteryChargingWireless60,BatteryCharge24Regular
BatteryChargingWirelessOutline,BatteryCharge24Regular
BatteryChargingWirelessAlert,BatteryWarning24Regular
BatteryChargingWireless50,BatteryCharge20Regular
BatteryChargingWireless70,BatteryCharge24Regular
BatteryCheck,null
BatteryCheckOutline,BatteryCheckmark24Regular
BatteryHeartVariant,null
BatteryLow,BatteryWarning24Regular
BatteryHeartOutline,HeartPulse24Regular
BatteryMedium,Battery624Regular
BatteryLockOpen,BatteryWarning24Regular
BatteryHigh,Battery1024Regular
BatteryMinus,BatteryWarning24Regular
BatteryHeart,HeartPulse24Regular
BatteryClockOutline,BatteryCharge24Regular
BatteryLock,BatterySaver24Regular
BatteryNegative,BatteryWarning24Regular
BatteryMinusOutline,BatteryWarning24Regular
BatteryPositive,BatteryCharge24Regular
BatteryMinusVariant,BatteryWarning24Regular
BatteryOffOutline,BatteryCharge24Regular
BatteryPlus,BatteryCharge24Regular
BatteryPlusOutline,BatteryCharge24Regular
BatteryPlusVariant,BatteryCharge24Regular
BatteryOutline,Battery024Regular
BatteryOff,BatteryWarning24Regular
BatteryRemove,BatteryWarning24Regular
Beach,Beach24Regular
BatterySyncOutline,BatteryCharge24Regular
Beaker,BeakerAdd24Regular
BatteryUnknownBluetooth,BatteryWarning24Regular
BatteryRemoveOutline,BatteryWarning24Regular
BatterySync,null
BeakerAlertOutline,null
BatteryUnknown,null
BeakerAlert,BeakerEdit24Regular
BeakerPlusOutline,BeakerAdd24Regular
BeakerQuestion,null
BeakerPlus,BeakerAdd24Regular
BeakerOutline,Beaker24Regular
BeakerRemove,null
BeakerQuestionOutline,null
BeakerMinusOutline,BeakerEdit24Regular
BeakerCheck,null
BeakerMinus,null
BeakerCheckOutline,null
BedQueen,Bed24Regular
BedEmpty,Bed24Regular
BedOutline,Bed24Regular
Bed,Bed24Regular
BeakerRemoveOutline,BeakerDismiss24Regular
BedKing,Sleep24Regular
BedKingOutline,BedRegular
BedDoubleOutline,BedRegular
BedDouble,Bed24Regular
BedClock,Sleep24Regular
BeehiveOffOutline,null
BedSingleOutline,Bed24Regular
BeehiveOutline,null
BedSingle,Bed24Regular
BedQueenOutline,Bed24Regular
Bee,null
Beekeeper,null
Beer,DrinkBeer24Regular
BeeFlower,null
BeerOutline,null
BellCancelOutline,Dismiss24Regular
Bell,Alert24Regular
BellCircle,AlertUrgent24Regular
BellCheck,AlertOn24Regular
BellAlert,AlertUrgent24Regular
BellCheckOutline,AlertUrgent24Regular
BellBadgeOutline,AlertBadge24Regular
BellBadge,PresenceAvailable24Regular
BellCancel,null
BellAlertOutline,AlertUrgent24Regular
BellMinus,AlertUrgent24Regular
BellCircleOutline,AlertUrgent24Regular
BellOff,AlertOff24Regular
BellOutline,AlertUrgent24Regular
BellPlusOutline,null
BellPlus,AlertUrgent24Regular
BellOffOutline,null
BellCog,AlertUrgent24Regular
BellMinusOutline,null
BellCogOutline,Settings24Regular
BellSleep,AlertUrgent24Regular
BenchBack,null
BellRing,AlertUrgent24Regular
Bench,null
Betamax,null
BellRemove,null
Beta,null
BellSleepOutline,null
BellRingOutline,AlertUrgent24Regular
BellRemoveOutline,AlertOff24Regular
BicyclePennyFarthing,null
BikePedal,null
BikePedalClipless,null
BicycleBasket,Cart24Regular
BicycleCargo,null
Bicycle,null
BikeFast,null
Biathlon,null
BicycleElectric,null
Bike,null
Bitbucket,null
Billboard,null
BilliardsRack,Sport24Regular
Binoculars,null
Billiards,Sport24Regular
Biohazard,null
Bio,BookOpen24Regular
BikePedalMountain,null
Bitcoin,null
Bird,null
BlindsOpen,null
Blender,null
BlenderSoftware,null
BlackMesa,null
BlenderOutline,null
Blinds,null
BlindsVerticalClosed,null
BlindsVertical,null
BlindsHorizontal,null
BlindsHorizontalClosed,null
BluetoothConnect,BluetoothConnected24Regular
Blur,Blur24Regular
Bluetooth,Bluetooth24Regular
BluetoothTransfer,Bluetooth24Regular
BluetoothAudio,Bluetooth24Regular
BluetoothSettings,Bluetooth24Regular
BluetoothOff,BluetoothDisabled24Regular
BlockHelper,null
BloodBag,null
BlurLinear,TextHanging24Regular
BombOff,null
BookAccountOutline,BookOpen24Regular
BlurRadial,Blur24Regular
Book,Book24Regular
BoneOff,null
Bolt,Flash24Regular
Bomb,null
BookAccount,BookContacts24Regular
Bone,null
BlurOff,Prohibited24Regular
BookArrowLeftOutline,BookOpen24Regular
BookAlphabet,BookLetter24Regular
BookArrowLeft,BookOpen24Regular
BookArrowRight,BookOpen24Regular
BookAlertOutline,null
BookAlert,null
BookArrowUp,ArrowUpload24Regular
BookArrowDown,null
BookArrowDownOutline,BookNumber24Regular
BookArrowRightOutline,null
BookClockOutline,BookClock24Regular
BookCross,BookOpen24Regular
BookCancel,null
BookCancelOutline,DocumentDismiss24Regular
BookCogOutline,BookNumber24Regular
BookCog,BookGlobe24Regular
BookClock,BookClock24Regular
BookCheckOutline,BookNumber24Regular
BookCheck,BookAdd24Regular
BookArrowUpOutline,null
BookEducationOutline,BookLetter24Regular
BookHeart,BookmarkMultiple24Regular
BookEducation,BookOpen24Regular
BookEdit,Edit24Regular
BookEditOutline,BookOpen24Regular
BookLockOpenOutline,null
BookLock,null
BookInformationVariant,BookInformation24Regular
BookLockOpen,null
BookHeartOutline,BookmarkMultiple24Regular
BookMarkerOutline,Bookmark24Regular
BookMarker,BookmarkMultiple24Regular
BookMinus,BookNumber24Regular
BookMusic,BookOpen24Regular
BookMultipleOutline,BookNumber24Regular
BookMinusMultipleOutline,null
BookMinusOutline,BookNumber24Regular
BookMinusMultiple,BookOpen24Regular
BookMultiple,null
BookLockOutline,null
BookOpenBlankVariantOutline,BookOpen24Regular
BookOff,null
BookOpenOutline,BookOpen24Regular
BookOpenVariant,BookOpen24Regular
BookOpenBlankVariant,BookOpen24Regular
BookMusicOutline,BookOpen24Regular
BookOpenPageVariant,BookOpen24Regular
BookOpen,BookOpen24Regular
BookOpenPageVariantOutline,BookOpen24Regular
BookOffOutline,null
BookPlusOutline,BookAdd24Regular
BookOpenVariantOutline,BookOpen24Regular
BookOutline,Book24Regular
BookPlayOutline,BookOpen24Regular
BookPlus,BookAdd24Regular
BookRefresh,BookArrowClockwise24Regular
BookPlay,BookOpen24Regular
BookRefreshOutline,BookArrowClockwise24Regular
BookPlusMultiple,NoteAdd24Regular
BookPlusMultipleOutline,BookAdd24Regular
BookRemoveMultiple,null
BookSearchOutline,BookSearch24Regular
BookSearch,DocumentSearch24Regular
BookSettingsOutline,BookNumber24Regular
BookSync,ArrowSync24Regular
BookRemoveOutline,null
BookRemove,null
BookRemoveMultipleOutline,null
BookSyncOutline,null
BookSettings,BookGlobe24Regular
BookmarkBox,BookmarkMultiple24Regular
BookmarkBoxMultiple,BookmarkMultiple24Regular
Bookmark,Bookmark24Regular
BookVariant,Book24Regular
BookmarkMinusOutline,BookmarkMultiple24Regular
BookmarkBoxMultipleOutline,BookmarkMultiple24Regular
BookmarkCheckOutline,BookmarkMultiple24Regular
BookmarkBoxOutline,BookmarkMultiple24Regular
BookmarkCheck,BookmarkMultiple24Regular
BookmarkMinus,null
BookmarkMultipleOutline,BookmarkMultiple24Regular
BookmarkOutline,Bookmark24Regular
BookmarkOffOutline,BookmarkOff24Regular
BookmarkMultiple,BookmarkMultiple24Regular
BookmarkOff,BookmarkOff24Regular
BookmarkMusic,BookmarkMultiple24Regular
BookmarkPlusOutline,BookmarkMultiple24Regular
BookmarkPlus,BookmarkAdd24Regular
BookmarkRemove,BookmarkOffRegular
BookmarkMusicOutline,BookmarkMultiple24Regular
Bookshelf,Collections24Regular
BoomGate,DoorArrowLeft24Regular
BoomGateArrowUpOutline,ArrowUpExclamation24Regular
BoomGateAlert,null
BoomGateArrowDown,null
BoomGateArrowUp,null
BoomGateOutline,null
BoomGateArrowDownOutline,CaretDown24Regular
BookmarkRemoveOutline,BookmarkMultiple24Regular
BoomGateAlertOutline,RoadCone24Regular
Boomerang,null
BorderAll,BorderAll24Regular
BorderAllVariant,Grid24Regular
Bootstrap,null
Boombox,Speaker224Regular
BorderBottom,BorderBottom24Regular
BoomGateUpOutline,null
BoomGateUp,null
BorderBottomVariant,BorderBottom24Regular
BorderColor,Color24Regular
BorderRightVariant,BorderRight24Regular
BorderLeft,BorderLeft24Regular
BorderRadius,BorderAll24Regular
BorderLeftVariant,BorderLeft24Regular
BorderHorizontal,DividerShort24Regular
BorderRight,BorderRight24Regular
BorderNone,BorderNone24Regular
BorderInside,BorderInside24Regular
BorderNoneVariant,RectangleLandscape24Regular
BorderOutside,null
BottleSodaClassicOutline,Food24Regular
BorderTopVariant,BorderTop24Regular
BorderTop,BorderTop24Regular
BorderStyle,BorderBottom24Regular
BottleSodaClassic,null
BottleSodaOutline,DrinkBeer24Regular
BottleTonic,null
BottleSoda,null
BottleTonicOutline,DrinkMargarita24Regular
BorderVertical,BorderLeft24Regular
Bowl,Food24Regular
BottleTonicSkullOutline,null
BowTie,BowTie24Regular
BottleTonicPlusOutline,null
BottleTonicSkull,null
BowlMix,Food24Regular
BottleWine,DrinkWine24Regular
BowArrow,ArrowUpRight24Regular
BottleWineOutline,null
BottleTonicPlus,null
Bowling,Sport24Regular
BowlMixOutline,Food24Regular
BowlOutline,Food24Regular
BoxCutterOff,Cut24Regular
BoxCutter,Box24Regular
Brain,Brain24Regular
Braille,null
BoxShadow,null
BoxingGlove,Sport24Regular
Box,Box24Regular
Briefcase,Briefcase24Regular
Bridge,null
BriefcaseAccountOutline,BriefcasePerson24Regular
BriefcaseArrowLeftRightOutline,null
BriefcaseArrowLeftRight,ArrowSwap24Regular
BreadSliceOutline,null
BreadSlice,null
BriefcaseAccount,BriefcasePerson24Regular
BriefcaseArrowUpDown,null
BriefcaseArrowUpDownOutline,null
BriefcaseClockOutline,null
BriefcaseCheckOutline,CheckboxChecked24Regular
BriefcaseEyeOutline,BriefcaseSearch24Regular
BriefcaseEye,BriefcaseSearch24Regular
BriefcaseEditOutline,null
BriefcaseCheck,null
BriefcaseClock,null
BriefcaseDownload,null
BriefcaseDownloadOutline,null
BriefcaseEdit,null
BriefcaseOff,BriefcaseOff24Regular
BriefcaseOutline,Briefcase24Regular
BriefcaseOffOutline,BriefcaseOff24Regular
BriefcaseSearch,BriefcaseSearch24Regular
BriefcasePlus,null
BriefcasePlusOutline,null
BriefcaseRemoveOutline,null
BriefcaseMinusOutline,Briefcase24Regular
BriefcaseRemove,null
BriefcaseMinus,null
BriefcaseVariant,Briefcase24Regular
BriefcaseVariantOff,BriefcaseOff24Regular
BriefcaseSearchOutline,BriefcaseSearch24Regular
Brightness1,Circle24Regular
BriefcaseVariantOutline,Briefcase24Regular
BriefcaseVariantOffOutline,null
Brightness2,BrightnessLow24Regular
Brightness3,null
BriefcaseUploadOutline,null
BriefcaseUpload,null
Brightness4,BrightnessLow24Regular
BrightnessPercent,BrightnessHigh24Regular
Brightness7,BrightnessHigh24Regular
Brightness5,BrightnessHigh24Regular
Broadcast,Communication24Regular
Brightness6,BrightnessLow24Regular
Broom,Broom24Regular
BroadcastOff,PresenterOff24Regular
BrightnessAuto,WeatherSunny24Regular
Brush,null
BrushOff,null
Buffet,null
Bug,Bug24Regular
BrushVariant,LineStyle24Regular
BugOutline,Bug24Regular
BugCheckOutline,Bug24Regular
BrushOutline,PaintBrush24Regular
Bucket,null
BugCheck,null
BucketOutline,null
BugStopOutline,null
BulkheadLight,null
BugStop,null
BugPause,null
Bullet,null
Bulldozer,null
BugPlayOutline,PlayCircle24Regular
Bugle,null
BugPauseOutline,null
BugPlay,null
BunkBed,Bed24Regular
BullhornOutline,Megaphone24Regular
Bulma,null
Bullseye,Target24Regular
Bullhorn,Megaphone24Regular
BullhornVariantOutline,AlertUrgent24Regular
BunkBedOutline,Bed24Regular
BullhornVariant,AlertUrgent24Regular
BulletinBoard,Board24Regular
BullseyeArrow,Target24Regular
BusArticulatedEnd,VehicleBus24Regular
BusMarker,null
BusArticulatedFront,null
BusClock,null
BusDoubleDecker,VehicleBus24Regular
BusMultiple,null
BusSchool,null
Bus,VehicleBus24Regular
BusElectric,null
BusAlert,VehicleBus24Regular
Butterfly,null
ButtonCursor,CursorHoverRegular
ButtonPointer,CursorHoverOff24Regular
BusSide,VehicleBus24Regular
ButterflyOutline,null
BusStopUncovered,null
BusSign,TextDirectionHorizontalLtr24Regular
BusStopCovered,null
BusStop,null
BusWrench,null
Cactus,null
CabinAFrame,Home24Regular
CalculatorVariant,Calculator24Regular
Calculator,Calculator24Regular
Cached,ArrowSync24Regular
Cake,null
CakeLayered,null
CakeVariant,FoodCake24Regular
CableData,CloudArrowDown24Regular
CakeVariantOutline,null
CalendarAccountOutline,CalendarPerson24Regular
CalendarArrowRight,CalendarArrowRightRegular
CalendarAccount,CalendarPerson24Regular
CalculatorVariantOutline,Calculator24Regular
CalendarAlertOutline,CalendarError24Regular
CalendarAlert,CalendarError24Regular
CalendarBadge,CalendarPerson24Regular
Calendar,Calendar24Regular
CalendarArrowLeft,CalendarWeekStartRegular
CalendarBadgeOutline,CalendarClock24Regular
CalendarClockOutline,CalendarClock24Regular
CalendarClock,CalendarClock24Regular
CalendarBlankMultiple,CalendarMultipleRegular
CalendarCheck,CalendarCheckmark24Regular
CalendarCheckOutline,CalendarCheckmark24Regular
CalendarBlankOutline,CalendarLtr24Regular
CalendarCursor,CalendarArrowRightRegular
CalendarCollapseHorizontalOutline,null
CalendarCollapseHorizontal,CalendarLtr24Regular
CalendarBlank,CalendarRegular
CalendarEdit,CalendarEdit24Regular
CalendarEnd,CalendarMultiple24Regular
CalendarExpandHorizontalOutline,CalendarMonth20Regular
CalendarEditOutline,CalendarEdit24Regular
CalendarEndOutline,CalendarEmpty24Regular
CalendarExpandHorizontal,CalendarEmpty24Regular
CalendarCursorOutline,CalendarEditRegular
CalendarFilter,CalendarLtr24Regular
CalendarExport,CalendarRegular
CalendarExportOutline,null
CalendarLock,CalendarLock24Regular
CalendarLockOutline,CalendarLock24Regular
CalendarImportOutline,CalendarAddRegular
CalendarImport,CalendarAddRegular
CalendarHeartOutline,null
CalendarFilterOutline,CalendarLtr24Regular
CalendarLockOpenOutline,null
CalendarHeart,null
CalendarLockOpen,null
CalendarMinus,null
CalendarPlusOutline,CalendarAdd24Regular
CalendarMonthOutline,CalendarMonthRegular
CalendarMultipleCheck,CalendarCheckmarkRegular
CalendarMultiselect,CalendarMultiple24Regular
CalendarPlus,CalendarAddRegular
CalendarOutline,CalendarLtr24Regular
CalendarMultiple,CalendarMultipleRegular
CalendarMonth,CalendarMonthRegular
CalendarMinusOutline,CalendarCancel24Regular
CalendarMultiselectOutline,CalendarMultiple24Regular
CalendarRemoveOutline,CalendarCancel24Regular
CalendarRemove,CalendarCancel24Regular
CalendarRefreshOutline,CalendarSync24Regular
CalendarRangeOutline,CalendarWeekStartRegular
CalendarRefresh,CalendarSync24Regular
CalendarRange,CalendarLtr24Regular
CalendarQuestion,null
CalendarSearchOutline,null
CalendarSearch,null
CalendarQuestionOutline,null
CalendarStarFourPoints,CalendarStar24Regular
CalendarStar,CalendarStar24Regular
CalendarToday,CalendarLtr24Regular
CalendarSyncOutline,CalendarSync24Regular
CalendarSync,CalendarSync24Regular
CalendarStarOutline,CalendarStar24Regular
CalendarText,CalendarLtr24Regular
CalendarTextOutline,CalendarEdit24Regular
CalendarStartOutline,CalendarArrowCounterclockwise24Regular
CalendarStart,CalendarAdd24Regular
CalendarWeekBeginOutline,CalendarWeekStart24Regular
CalendarTodayOutline,CalendarLtr24Regular
CallMissed,CallMissed24Regular
CalendarWeekBegin,CalendarWeekStart24Regular
CallMade,CallOutbound24Regular
CalendarWeekOutline,CalendarWeekStartRegular
CalendarWeekend,Calendar3Day24Regular
CalendarWeek,CalendarLtr24Regular
CallMerge,null
CalendarWeekendOutline,CalendarWorkWeek24Regular
CamcorderOff,null
Camera,Camera24Regular
CameraBurst,CameraDome24Regular
CameraDocument,Camera20Regular
Camcorder,Camera24Regular
CameraDocumentOff,null
CallSplit,CallOutbound24Regular
CameraControl,null
CameraAccount,VideoPersonRegular
CallReceived,null
CameraIris,CameraDome24Regular
CameraFlipOutline,CameraSwitch24Regular
CameraGopro,null
CameraLock,CameraOff24Regular
CameraEnhance,CameraAdd24Regular
CameraFront,ArrowSwap24Regular
CameraFrontVariant,null
CameraEnhanceOutline,CameraSwitch24Regular
CameraFlip,ArrowSwap24Regular
CameraImage,Camera24Regular
CameraOff,CameraOff24Regular
CameraMeteringPartial,CameraDome24Regular
CameraMarker,Camera24Regular
CameraMeteringMatrix,null
CameraLockOpen,CameraOff24Regular
CameraLockOutline,null
CameraMeteringCenter,null
CameraLockOpenOutline,null
CameraMarkerOutline,null
CameraMeteringSpot,null
CameraOffOutline,CameraOff24Regular
CameraRetakeOutline,CameraSwitch24Regular
CameraRetake,Camera24Regular
CameraPlus,CameraAdd24Regular
CameraSwitch,CameraSwitch24Regular
CameraOutline,Camera24Regular
CameraRearVariant,null
CameraPlusOutline,CameraAdd24Regular
CameraRear,null
CameraPartyMode,CameraSparkles24Regular
Campfire,Fire24Regular
Cancel,Dismiss24Regular
CameraSwitchOutline,CameraSwitch24Regular
CandelabraFire,null
Candelabra,null
Candle,BookmarkMultiple24Regular
CameraWirelessOutline,Camera24Regular
CameraWireless,CameraDome24Regular
CameraTimer,Timer24Regular
Candy,null
CannabisOff,null
CandyOutline,null
Cannabis,null
CandyOff,null
Car2Plus,VehicleCarProfileLtr24Regular
Candycane,null
Car,VehicleCar24Regular
CapsLock,null
CandyOffOutline,null
Car3Plus,VehicleTruckProfile24Regular
CarBrakeFluidLevel,null
CarBrakeHold,null
CarBrakeLowPressure,null
CarArrowRight,VehicleCarProfileLtr24Regular
CarBack,VehicleCarProfileLtr24Regular
CarBrakeAbs,null
CarBattery,VehicleCarProfileLtr24Regular
CarBrakeAlert,null
CarArrowLeft,VehicleCarProfileLtr24Regular
CarBrakeParking,null
CarBrakeRetarder,null
CarCog,VehicleCarProfileLtr24Regular
CarClock,VehicleCarProfileLtr24Regular
CarConnected,Connected24Regular
CarBrakeWornLinings,null
CarConvertible,VehicleCarProfileLtr24Regular
CarCoolantLevel,Temperature24Regular
CarBrakeTemperature,null
CarChildSeat,null
CarClutch,null
CarDoorLockOpen,Door24Regular
CarEmergency,VehicleCarProfile24Regular
CarEsp,VehicleTruckProfile24Regular
CarDoor,VehicleCarProfileLtr24Regular
CarDefrostRear,null
CarCruiseControl,VehicleCarProfileLtr24Regular
CarElectricOutline,null
CarElectric,VehicleCarProfileLtr24Regular
CarDoorLock,null
CarDefrostFront,null
CarKey,Key24Regular
CarEstate,VehicleCarProfileLtr24Regular
CarLimousine,VehicleCarProfileLtr24Regular
CarInfo,VehicleCarProfileLtr24Regular
CarLightAlert,null
CarLightHigh,VehicleTruckProfile24Regular
CarLightFog,VehicleCarProfileLtr24Regular
CarHatchback,VehicleCar24Regular
CarLiftedPickup,VehicleTruck24Regular
CarLightDimmed,null
CarOff,null
CarPickup,VehicleCarProfile24Regular
CarSearchOutline,VehicleCarProfileLtr24Regular
CarSeatCooler,null
CarSeatHeater,null
CarOutline,VehicleCarProfile24Regular
CarParkingLights,null
CarSeat,VehicleCarProfile24Regular
CarSearch,VehicleCarProfileLtr24Regular
CarMultiple,VehicleCarProfileLtr24Regular
CarShiftPattern,ShiftsActivity24Regular
CarSports,Sport24Regular
CarSelect,null
CarSettings,VehicleCarProfileLtr24Regular
CarTireAlert,null
CarTurbocharger,Engine24Regular
CarWash,VehicleCarProfileLtr24Regular
CarSide,VehicleCarProfileLtr24Regular
CarTractionControl,VehicleCab24Regular
CarSpeedLimiter,null
CardAccountDetails,ContactCard24Regular
CarWrench,VehicleCarProfileLtr24Regular
Caravan,VehicleCarProfile24Regular
Carabiner,null
CarWindshieldOutline,VehicleCarProfileLtr24Regular
CarWindshield,VehicleCarProfileRegular
Card,ContactCard24Regular
CarWireless,VehicleCarProfile24Regular
CardAccountDetailsOutline,ContactCard24Regular
CardAccountDetailsStar,DocumentBulletList24Regular
CardAccountPhone,ContactCard24Regular
CardAccountMailOutline,Mail24Regular
CardAccountMail,MailTemplate24Regular
CardBulletedOutline,CardUi24Regular
CardBulletedOffOutline,null
CardAccountDetailsStarOutline,null
CardBulletedSettings,null
CardBulletedOff,null
CardBulleted,null
CardAccountPhoneOutline,null
CardPlusOutline,AddCircle24Regular
CardMultiple,null
CardOutline,null
CardBulletedSettingsOutline,null
CardOffOutline,null
CardPlus,null
CardMultipleOutline,DocumentMultiple24Regular
CardMinusOutline,null
CardMinus,null
CardOff,null
CardRemove,Dismiss24Regular
CardsClub,CardUi24Regular
CardsClubOutline,CardUi24Regular
CardSearch,DocumentSearch24Regular
CardSearchOutline,SearchSquare24Regular
CardRemoveOutline,null
CardText,DocumentText24Regular
CardTextOutline,Note24Regular
CardsDiamond,Games24Regular
Cards,null
CardsOutline,CardUi24Regular
CardsHeartOutline,Heart24Regular
CardsHeart,Heart24Regular
CardsDiamondOutline,CardUi24Regular
CardsPlayingClubMultipleOutline,null
CardsPlaying,CardUi24Regular
CardsPlayingClub,CardUi24Regular
CardsPlayingClubMultiple,Collections24Regular
CardsPlayingDiamond,Games24Regular
CardsPlayingClubOutline,null
CardsPlayingSpadeMultiple,CardUi24Regular
CardsPlayingHeartMultiple,null
CardsPlayingDiamondMultiple,Stack24Regular
CardsPlayingSpade,null
CardsPlayingHeartMultipleOutline,null
CardsPlayingDiamondOutline,CardUi24Regular
CardsPlayingHeart,null
CardsPlayingHeartOutline,null
CardsPlayingDiamondMultipleOutline,null
CardsPlayingOutline,null
CardsPlayingSpadeMultipleOutline,Games24Regular
CardsSpadeOutline,CardUi24Regular
CardsSpade,CardUiRegular
Cart,Cart24Regular
Carrot,FoodCarrotRegular
CartArrowUp,ArrowUpload24Regular
CardsVariant,null
CardsPlayingSpadeOutline,CardUi24Regular
CartArrowDown,null
CartArrowRight,null
CartRemove,ShoppingBagDismiss24Regular
CaseSensitiveAlt,TextCaseUppercase24Regular
CartVariant,Cart24Regular
CartOutline,Cart24Regular
CartPlus,Add24Regular
CartPercent,Tag24Regular
CartCheck,null
CartMinus,null
CartOff,null
CartHeart,null
CashFast,Money24Regular
Cash100,CurrencyDollarEuro24Regular
Cash,CurrencyDollarEuro24Regular
CashMinus,null
CashLockOpen,null
CashCheck,ReceiptMoney24Regular
CashLock,Receipt24Regular
CashClock,null
CashEdit,null
CashMarker,Money24Regular
CashMultiple,Money24Regular
CashRemove,MoneyDismiss24Regular
CashPlus,Money24Regular
CashOff,MoneyOff24Regular
Cast,Cast24Regular
CastAudio,Cast24Regular
Cassette,null
CashSync,ArrowSync24Regular
CashRefund,ArrowReply24Regular
CashRegister,ReceiptPlay24Regular
CastConnected,CastMultiple24Regular
CeilingFan,null
Cctv,CameraDome24Regular
CctvOff,CameraOff24Regular
CastVariant,Cast24Regular
Cat,null
CastAudioVariant,Cast24Regular
Castle,null
CastOff,null
CastEducation,null
Cellphone,Phone24Regular
CellphoneBasic,Phone24Regular
CeilingLight,Lightbulb24Regular
CellphoneCharging,PhoneArrowRight24Regular
CeilingLightOutline,null
CeilingFanLight,null
CeilingLightMultipleOutline,null
CeilingLightMultiple,null
CellphoneArrowDown,null
CellphoneArrowDownVariant,null
CellphoneLock,PhoneLock24Regular
CellphoneCog,PhoneUpdate24Regular
CellphoneKey,PhoneKey24Regular
CellphoneDock,PhoneUpdate24Regular
CellphoneLinkOff,null
CellphoneMessage,PhoneArrowRight24Regular
CellphoneLink,PhoneDesktop24Regular
CellphoneInformation,PhoneStatusBar24Regular
CellphoneCheck,null
CellphoneMarker,PhoneArrowRight24Regular
CellphoneSettings,PhoneStatusBar24Regular
CellphoneSound,CellularWarning24Regular
CellphoneOff,PhoneDismiss24Regular
CellphoneRemove,PhoneDismiss24Regular
CellphoneText,PhoneStatusBar24Regular
CellphonePlay,null
CellphoneMessageOff,null
CellphoneNfc,null
CellphoneScreenshot,PhoneScreenTime24Regular
CellphoneNfcOff,null
Chandelier,null
Centos,null
CertificateOutline,Certificate24Regular
ChairSchool,null
Charity,Heart24Regular
ChairRolling,Seat24Regular
ChartArc,null
CellphoneWireless,null
CharitySearch,null
Certificate,Certificate24Regular
ChartBoxMultipleOutline,ChartMultiple24Regular
ChartBoxMultiple,ChartMultiple24Regular
ChartBellCurve,ChartMultiple24Regular
ChartBellCurveCumulative,ChartMultiple24Regular
ChartBoxOutline,null
ChartBarStacked,null
ChartAreaspline,DataArea24Regular
ChartAreasplineVariant,null
ChartBox,null
ChartBar,DataBarHorizontal24Regular
